X,Y,OBJECTID,NAME,CITY,STATE,CAPACITY,LATITUDE,LONGITUDE,LEAGUE,TEAM,CODE,ZIP CODE
-13122643.62,4002019.714,1,Angel Stadium,Anaheim,CA,45050,33.80030823,-117.8827133,American,Los Angeles Angels,LAA,92806
-12475219.44,3954556.422,2,Chase Field,Phoeniz,AZ,48633,33.44527054,-112.066803,National,Arizona Diamondbacks,ARI,85004
-8367493.542,4852318.158,3,Citizens Bank Park,Philadelphia,PA,43651,39.90618134,-75.16647339,National,Philadelphia Phillies,PHI,19148
-9244953.258,5211938.088,4,Comerica Park,Detroit,MI,41681,42.33927917,-83.04882813,American,Detroit Tigers,DET,48201
-11687894.27,4830598.852,5,Coors Field,Denver,CO,50490,39.75635147,-104.9941406,National,Colorado Rockies,COL,80205
-13162411.26,4038726.523,6,Dodger Stadium,Los Angeles,CA,56000,34.07387924,-118.2399521,National,Los Angeles Dodgers,LAN,90090
-7914560.835,5212983.729,7,Fenway Park,Boston,MA,37493,42.34622192,-71.09770966,American,Boston Red Sox,BOS,02215
-9407216.329,4735605.642,8,Great American Ballpark,Cincinnati,OH,42319,39.09720993,-84.5064621,National,Cincinnati Reds,CIN,45202
-9093165.456,5085747.713,9,Progressive Field,Cleveland,OH,43441,41.49578857,-81.6852951,American,Cleveland Indians,CLE,44115
-10517513.42,4729071.198,10,Kauffman Stadium,Kansas City,MO,37903,39.05163956,-94.4804306,American,Kansas City Royals,KCA,64129
-9792907.383,5316252.693,11,American Family Field,Milwaukee,WI,41900,43.02811813,-87.97118378,National,Milwaukee Brewers,MIL,53214
-10614929.87,3472375.532,12,Minute Maid Park,Houston,TX,40963,29.75717926,-95.35553741,National,Houston Astros,HOU,77002
-10040245.72,4667752.898,13,Busch Stadium,St. Louis,MO,43975,38.62258148,-90.19306183,National,St. Louis Cardinals,SLN,63102
-8529472.948,4762427.091,14,Oriole Park at Camden Yards,Baltimore,MD,45363,39.28395081,-76.62155914,American,Baltimore Orioles,BAL,21201
-13624358.44,4548168.349,15,Oracle Park,San Francisco,CA,41915,37.77840042,-122.3896942,National,San Francisco Giants,SFN,94107
-13041862.42,3856552.673,16,Petco Park,San Diego,CA,42302,32.70756912,-117.1570435,National,San Diego Padres,SDN,92101
-8906244.649,4931120.362,17,PNC Park,Pittsburgh,PA,38362,40.44704819,-80.00615692,National,Pittsburgh Pirates,PIT,15212
-13617975.1,6039156.923,18,T-Mobile Park,Seattle,WA,47878,47.59146881,-122.3323517,American,Seattle Mariners,SEA,98134
-8220486.452,4976571.184,19,Citi Field,Flushing,NY,41800,40.75704193,-73.84588623,National,New York Mets,NYN,11368
-10807180.04,3862330.048,20,Global Life Park in Arlington,Arlington,TX,48114,32.75122833,-97.08255005,American,Texas Rangers,TEX,76011
-9200940.817,3219771.053,21,Tropicana Field,St. Petersburg,FL,34078,27.76812553,-82.65345764,American,Tampa Bay Rays,TBA,33705
-9755333.487,5135525.664,22,Guaranteed Rate Field,Chicago,IL,40615,41.82984924,-87.63365173,American,Chicago White Sox,CHA,60616
-9757782.02,5153202.119,23,Wrigley Field,Chicago,IL,41160,41.94805908,-87.65564728,National,Chicago Cubs,CHN,60613
-8229431.283,4987244.779,24,Yankee Stadium,Bronx,NY,49642,40.82963181,-73.92623901,American,New York Yankees,NYA,10451
-8572424.612,4703503.452,25,Nationals Park,Washington,DC,41418,38.87305069,-77.00740051,National,Washington Nationals,WAS,20003
-10383633.97,5618648.932,26,Target Field,Minneapolis,MN,39021,44.98175049,-93.277771,American,Minnesota Twins,MIN,55403
-8837589.759,5410118.105,27,Rogers Centre,Toronto,ON,48292,43.64142227,-79.38941956,American,Toronto Blue Jays,TOR,M5V 1J1
-8929997.031,2971622.239,28,Marlins Park,Miami,FL,37000,25.77808952,-80.2195282,National,Miami Marlins,MIA,33125
-13603311.08,4544395.79,29,Oakland–Alameda County Coliseum,Oakland,CA,63026,37.7516098,-122.2006226,American,Oakland Athletics,OAK,94621
-9402890.843,4014123.028,30,SunTrust Park,Cumberland,GA,41084,33.89060974,-84.46760559,National,Atlanta Braves,ATL,30339
